,CRN,Course Number,Title,Credits,Day/Time/Room,Instructor,FY,Max,Current,Wait
0,CRN,Course Number,Title,Credits,Day/Time/Room,Instructor,FY,Max,Current,Wait
1,112,FS 100 A,Seminar I,4,MW 1:05-2:30 PM in DAC-139,John Myers,FY,14,12,0
2,207,FS 100 B,Seminar I,4,MW 1:05-2:30 PM in CL3-10,Felix Kaputu,FY,14,12,0
3,32,FS 100 C,Seminar I,4,TR 9:00-10:25 AM in CL3-09,Jeff Walton,FY,14,8,0
4,191,FS 100 D,Seminar I,4,TR 10:35-12:00 PM in DAC-135,Em Rooney,FY,14,11,1
5,253,FS 100 G,Seminar I,4,MW 2:40-4:05 PM in CL3-14,Justin Jackson,FY,14,11,0
6,CRN,Course Number,Title,Credits,Day/Time/Room,Instructor,FY,Max,Current,Wait
7,292,FYE 100 B,First Year Experience I,1 p/f,F 1:05-2:30 PM in CL3-10,Mary Budzn,FY,15,11,0
8,293,FYE 100 C,First Year Experience I,1 p/f,F 1:05-2:30 PM in CL3-12,David Franco Arabia,FY,15,11,0
9,294,FYE 100 D,First Year Experience I,1 p/f,F 1:05-2:30 PM in CL3-11,Mileta Roe,FY,15,10,0
10,295,FYE 100 E,First Year Experience I,1 p/f,F 2:40-4:05 PM in CL3-09,Mileta Roe,FY,15,13,0
11,296,FYE 100 F,First Year Experience I,1 p/f,F 2:40-4:05 PM in CL3-10,Donald McClelland,FY,15,13,0
12,CRN,Course Number,Title,Credits,Day/Time/Room,Instructor,FY,Max,Current,Wait
13,92,ARTH 101,Introduction to Art History: A Survey of Visual Arts from 1945-present,3,MW 2:40-4:05 PM in DAC-125,Zoey Lubitz,FY,15,8,0
14,248,ARTH 255AM 1,"History of Architecture and Decor, A Visual Survey of 5000 Years - Part I",2,TR 10:35-12:00 PM in DAC-125,John Musall,FY,15,9,0
15,249,ARTH 255BM 2,"History of Architecture and Decor, A Visual Survey of 5000 Years - Part II",2,TR 10:35-12:00 PM in DAC-125,John Musall,FY,15,6,0
16,52,DANC 121/221,Dance Fundamentals,3,TR 1:05-2:30 PM in DAC-108,Kati Garcia-Renart,FY,15,14,0
17,48,DANC 126/226/326,CP Flamenco Dance,3/4,MW 10:05-11:30 AM in DAC-116,Kati Garcia-Renart,FY,10,4,0
18,16,FILM 110,Introduction to Film and Media Production,3,TR 1:05-2:30 PM in DAC-125,Molly Cooper,FY,12,11,0
19,134,FILM 241/341,Fiction Film 2 - Directing,3/4,WF 2:40-4:05 PM in DAC-120,Dien Vo,WP,12,5,0
20,87,MUS 117,Chorus,1 p/f,M 7:30-9:00 PM in KLG,Catherine Schane-Lydon,FY,20,8,0
21,212,MUS 180 P,Applied Music: Trombone,1 p/f,TBD,David Wampler,FY,20,0,0
22,213,MUS 181 P,Applied Music: Bassoon,1 p/f,TBD,staff,FY,20,0,0
23,214,MUS 182 P,Applied Music: Recorder,1 p/f,TBD,Judith Dansker-DePaolo,FY,20,0,0
24,215,MUS 183 P,Applied Music: Harp,1 p/f,TBD,Teresa Mango,FY,20,0,0
25,216,MUS 184 P,Applied Music: Viola da Gamba,1 p/f,TBD,Anne Legene,FY,20,1,0
26,217,MUS 185 P,Applied Music: Saxophone,1 p/f,TBD,John Myers,FY,20,0,0
27,218,MUS 187 P,Applied Music: Clarinet,1 p/f,TBD,staff,FY,20,0,0
28,219,MUS 188 P,Applied Music:Trumpet,1 p/f,TBD,Allan Dean,FY,20,1,0
29,220,MUS 189 P,Applied Music: Mandolin,1 p/f,TBD,staff,FY,20,0,0
30,221,MUS 190 PA,Applied Music: Piano,1 p/f,TBD,Manon Hutton-DeWys,FY,20,3,0
31,222,MUS 190 PB,Applied Music: Piano,1 p/f,TBD,Aaron Likness,FY,20,2,0
32,223,MUS 191 P,Applied Music: Voice,1 p/f,TBD,Gigi Teeley,FY,20,3,0
33,224,MUS 192 P,Applied Music: Flute,1 p/f,TBD,Sharon Powers,FY,20,1,0
34,225,MUS 193 P,Applied Music: Guitar,1 p/f,TBD,Julia Britell,FY,20,6,0
35,226,MUS 194 P,Applied Music:  Viola,1 p/f,TBD,Eric Martin,FY,20,0,0
36,227,MUS 195 P,Applied Music: Cello,1 p/f,TBD,Julian Muller,FY,20,0,0
37,228,MUS 196 P,Applied Music: Percussion,1 p/f,TBD,Thomas Parker,FY,20,1,0
38,229,MUS 197 P,Applied Music: Oboe,1 p/f,TBD,Judith Dansker-DePaolo,FY,20,0,0
39,230,MUS 198 P,Applied Music: Bass,1 p/f,TBD,Peter Toigo,FY,20,0,0
40,231,MUS 199 P,Applied Music: Violin,1 p/f,TBD,Jessica Belflower,FY,20,2,0
41,57,MUS 206,Introduction to Tonal Harmony,3,WF 1:05-2:30 PM in KLG,Manon Hutton-DeWys,FY,15,4,0
42,111,MUS 222,Jazz Ensemble,1 p/f,T 7:30-9:00 PM in KLG-,John Myers,FY,30,9,0
43,108,MUS 227/327,CP Music in World Cultures,3/4,TR 2:40-4:05 PM in DAC-128,John Myers,FY,15,8,0
44,58,MUS 237/337,Music Performance Workshop,3/4,TR 10:35-12:00 PM in KLG,Manon Hutton-DeWys,FY,15,7,0
45,83,MUS 278,Collegium,1 p/f,W 7:00-8:30 PM in KLG-,Anne Legene,FY,15,4,0
46,85,MUS 289,Chamber Orchestra,1 p/f,R 7:00-8:30 PM in KLG-,Anne Legene,FY,20,6,0
47,107,MUS 308,Counterpoint: The Essence of Western Musical Tradition,4,MW 2:40-4:05 PM in DAC-128,John Myers,WP,12,2,0
48,151,PHOT 101/201,Darkroom Photography I,3,TR 4:15-5:40 PM in DAC-025,Em Rooney,FY,12,8,0
49,62,PHOT 102,Photography Foundations,3,TR 10:35-12:00 PM in DAC-025,Daniel Karp,FY,12,8,0
50,73,SART 106 A,Introduction to Ceramics,3,MW 1:05-2:30 PM in DAC-072,Ben Krupka,FY,12,5,0
51,74,SART 106 B,Introduction to Ceramics,3,MW 2:40-4:05 PM in DAC-072,Ben Krupka,FY,12,9,0
