SSBSECT_TERM_CODE	SEMESTER	YEAR	SSBSECT_CRN	SSBSECT_SUBJ_CODE	STVDEPT_DESC	SSBSECT_CRSE_NUMB	SSBSECT_SEQ_NUMB	COURSE	SHORT_TITLE	LONG_TITLE	PRINT_TITLE	TYPE	SCBCRSE_DIVS_CODE	DIVSION_DESC	SCBCRSE_CREDIT_HR_LOW	SCBCRSE_CREDIT_HR_HIGH	DEFAULT_CREDITS	PRINT_CREDITS	SORT_SECTION	XLIST_1	XLIST_DESC_1	XLIST_2	XLIST_DESC_2	XLIST_3	XLIST_DESC_3	XLIST_4	XLIST_DESC_4	SSBSECT_MAX_ENRL	SSBSECT_WAIT_COUNT	SSBSECT_ENRL	SSBSECT_SEATS_AVAIL	SSBSECT_PTRM_CODE	PART_OF_SEMESTER	GRADE_MODE	HAS_FEE	MULTI_LEVEL_WITH	MULTI_LEVEL_PRINT	HAS_FINAL	FY	FOR_WHOM	IS_CP	INSTRUCTOR_LAST	INSTRUCTOR_FIRST	SSRMEET_BEGIN_TIME	SSRMEET_END_TIME	SSRMEET_BLDG_CODE	STVBLDG_DESC	SSRMEET_ROOM_CODE	SSRMEET_MON_DAY	SSRMEET_TUE_DAY	SSRMEET_WED_DAY	SSRMEET_THU_DAY	SSRMEET_FRI_DAY	SSRMEET_SAT_DAY	SSRMEET_SUN_DAY	PRINT_DAYS	PRINT_TIME	DIVISION_CREDIT	SPECIAL_PROGRAM	CRNKEY
202408	FALL	2024	242	AFAM	African American Studies	215	0	AFAM 215	CP Afrofuturism		CP Afrofuturism	College	0005	Interdivisional	0	3	3	3	E	LIT	Literature	QL	Queer Leadership					15	0	13	2	1	Full Semester 	Graded				N	Y	first semester	CP	Stephens	Carla	1440	1605	CL3	Classroom Bldg 3 (by Lec Ctr)	09	M		W					MW	2:40-4:05 PM	Social Studies	 	202408242
202408	FALL	2024	10	ANTH	Anthropology	232	0	ANTH 232	WCP City Life	WCP City Life: Anthropology, People, and Place at Home and Abroad	WCP City Life: Anthropology, People, and Place at Home and Abroad	College	0004	Social Studies	0	3	3	3	E									15	0	6	9	1	Full Semester 	Graded				N	Y	first semester	CP	Boswell	Kathryn	1035	1200	CL1	Classroom Bldg 1 (by Library)	03		T		R				TR	10:35-12:00 PM	Social Studies	 	20240810
202408	FALL	2024	170	ANTH	Anthropology	238	0	ANTH 238	WCP Media Anthropology		WCP Media Anthropology	College	0004	Social Studies	0	3	3	3	E									15	0	6	9	1	Full Semester 	Graded				N	Y	first semester	CP	Boswell	Kathryn	1305	1430	CL1	Classroom Bldg 1 (by Library)	03		T		R				TR	1:05-2:30 PM	Social Studies	 	202408170
202408	FALL	2024	92	ARTH	Art History	101	0	ARTH 101	Introduction to Art History	Introduction to Art History: A Survey of Visual Arts from 1945-present	Introduction to Art History: A Survey of Visual Arts from 1945-present	College	0001	Arts	0	3	3	3	E									15	0	8	7	1	Full Semester 	Graded				N	Y	first semester		Lubitz	Zoey	1440	1605	DAC	Daniel Arts Center	125	M		W					MW	2:40-4:05 PM	Arts	 	20240892
202408	FALL	2024	300	ARTH	Art History	160-B	0	ARTH 160-B	BARD: Latin American Art		BARD: Latin American Art	Course at BARD	0001	Arts	4		4	4	E									5	0	1	4	1	Full Semester 	Graded						 				1150	1310					T		R				TR	11:50-1:10 PM	none	 	202408300
202408	FALL	2024	195	ARTH	Art History	218	0	ARTH 218	Photographic Futures	Photographic Futures: Carceral Systems and Environmental Justice	Photographic Futures: Carceral Systems and Environmental Justice	College	0001	Arts	0	3	3	3	E	PHOT	Photography							15	0	3	12	1	Full Semester 	Graded	$MED		ARTH 218/318	N	N	not first semester		Rooney	Em	1005	1130	DAC	Daniel Arts Center	025	M		W					MW	10:05-11:30 AM	Arts	 	202408195
202408	FALL	2024	195	ARTH	Art History	218	0	ARTH 218	Photographic Futures	Photographic Futures: Carceral Systems and Environmental Justice	Photographic Futures: Carceral Systems and Environmental Justice	College	0001	Arts	0	3	3	3	E	PHOT	Photography							15	0	3	12	1	Full Semester 	Graded	$MED		ARTH 218/318	N	N	not first semester		Lubitz	Zoey	1005	1130	DAC	Daniel Arts Center	025	M		W					MW	10:05-11:30 AM	Arts	 	202408195
202408	FALL	2024	248	ARTH	Art History	255AM	1	ARTH 255AM 1	Hist of Architecture & Decor I	History of Architecture and Decor, A Visual Survey of 5000 Years - Part I	History of Architecture and Decor, A Visual Survey of 5000 Years - Part I	College	0001	Arts	0	2	2	2	E									15	0	9	6	2	MOD1	Graded				N	Y	first semester		Musall	John	1035	1200	DAC	Daniel Arts Center	125		T		R				TR	10:35-12:00 PM	Arts	 	202408248
202408	FALL	2024	249	ARTH	Art History	255BM	2	ARTH 255BM 2	Hist of Architecture & Decor 2	History of Architecture and Decor, A Visual Survey of 5000 Years - Part II	History of Architecture and Decor, A Visual Survey of 5000 Years - Part II	College	0001	Arts	0	2	2	2	E									15	0	9	6	3	MOD2	Graded				N	Y	first semester		Musall	John	1035	1200	DAC	Daniel Arts Center	125		T		R				TR	10:35-12:00 PM	Arts	 	202408249
202408	FALL	2024	196	ARTH	Art History	318	0	ARTH 318	Photographic Futures	Photographic Futures: Carceral Systems and Environmental Justice	Photographic Futures: Carceral Systems and Environmental Justice	College	0001	Arts	0	4	4	4	E	PHOT	Photography							15	0	1	14	1	Full Semester 	Graded	$MED	ARTH 218		N	N	not first semester		Lubitz	Zoey	1005	1130	DAC	Daniel Arts Center	025	M		W					MW	10:05-11:30 AM	Arts	 	202408196
