,CRN,Course Number,Title,Credits,Day/Time/Room,Instructor,FY,Max,Current,Wait
0,CRN,Course Number,Title,Credits,Day/Time/Room,Instructor,FY,Max,Current,Wait
1,25,FOOD 205,Sustainable Local Food in Global Context (OSUN NCC),3,MW 8:30-9:55 AM in LIE-02,Maryann Tebben,FY,15,9,0
2,236,POLS 229,"The Ignorance of Schoolmasters and the Scandal of Democracy: Education, Emancipation,
                              Politics",3,MW 8:30-9:55 AM in ONL-,Asma Abbas,WP,15,8,0
3,14,CHIN 100,Chinese Language & Context I,4,MW 8:30-9:55 AM and R 9:00-10:25 AM in LIE-01,Christopher Coggins,FY,15,8,0
4,CRN,Course Number,Title,Credits,Day/Time/Room,Instructor,FY,Max,Current,Wait
5,126,BIO 100,Introduction to Biology,4,MWF 9:00-9:55 AM in FSH-102,Sarah Snyder,FY,30,26,0
6,121,CHEM 302,Organic Chemistry I,4,MWF 9:00-9:55 AM in FSH-113 and M 4:15-7:10 PM in FSH-128,Jessica Robbins,,15,4,0
7,130,CMPT 243,Algorithms and Data Structures,3,MWF 9:00-9:55 AM in FSH-112,Myo Thida,,15,8,0
8,141,MATH 210 A,(CLOSED)Calculus I,3,MWF 9:00-9:55 AM in FSH-201,Kameryn Williams,WP,15,16,0
9,119,MATH 221,Vector Calculus,3,MWF 9:00-9:55 AM in CL1-01,Robert Putz,WP,15,6,0
10,114,PSYC 100,(CLOSED)Introduction to Psychology,3,MWF 9:00-9:55 AM in LEC-LC,Anne O'Dwyer,FY,30,30,0
11,CRN,Course Number,Title,Credits,Day/Time/Room,Instructor,FY,Max,Current,Wait
12,15,GEOG 217/317,Forest Studies Seminar & Lab,3/4,F 9:00-11:55 AM in LIE-02,Christopher Coggins,FY,15,12,0
13,240,PSYC 224M 2,Expressive Arts,2,F 9:00-11:55 AM in DAC-125,Marney Schorr,,15,8,0
14,19,PSYC 330,Child and Adolescent Psychopathology and Treatment Methods,4,M 9:00-11:55 AM in CL3-13,Jennifer Daniels,,15,11,0
15,CRN,Course Number,Title,Credits,Day/Time/Room,Instructor,FY,Max,Current,Wait
16,180,THEA 207/307/407,Theater Production: Tech,1/4,F 10:00-12:30 PM in DAC-002,Leo Earl,WP,15,5,0
17,CRN,Course Number,Title,Credits,Day/Time/Room,Instructor,FY,Max,Current,Wait
18,103,CHEM 100 A,Chemistry I,4,MWF 10:05-11:00 AM in FSH-102,David Myers,WP,20,9,0
19,120,MATH 109,Elementary Functions,3,MWF 10:05-11:00 AM in CL1-01,Robert Putz,WP,15,7,1
20,68,MATH 110,(CLOSED)Introduction to Statistics,3,MWF 10:05-11:00 AM in CL1-03,Kenneth Knox,WP,15,15,1
21,142,MATH 210 B,(CLOSED)Calculus I,3,MWF 10:05-11:00 AM in FSH-112,Kameryn Williams,WP,15,18,0
22,102,MATH 211,Calculus II,3,MWF 10:05-11:00 AM in CL1-04,Kaethe Minden,WP,15,6,0
23,2,PHYS 220,Introduction to Quantum Physics,3,MWF 10:05-11:00 AM in FSH-113,Sameer Hamadna,WP,20,9,0
24,CRN,Course Number,Title,Credits,Day/Time/Room,Instructor,FY,Max,Current,Wait
25,195,ARTH 218/318,Photographic Futures: Carceral Systems and Environmental Justice,3/4,MW 10:05-11:30 AM in DAC-025,Em Rooney and Zoey Lubitz,,15,4,0
26,94,BIO 200,General Botany,4,WF 10:05-11:30 AM and R 2:40-5:35 PM in FSH-211,Donald McClelland,,15,3,0
27,48,DANC 126/226/326,CP Flamenco Dance,3/4,MW 10:05-11:30 AM in DAC-116,Kati Garcia-Renart,FY,10,4,0
28,44,LIT 204,Children's Literature,3,MW 10:05-11:30 AM in CL3-09,Mileta Roe,FY,16,13,0
29,176,SOCS 237,"(CLOSED)CP International Wars & Ecosystem: Ukraine-Russia, Gaza-Israel: Human Rights and Anthro.
                              Perspective",3,MW 10:05-11:30 AM in CL3-10,Felix Kaputu,FY,15,16,0
30,144,SART 263,Introduction to Sculpture,3,MW 10:05-11:30 AM in DAC-052,Chris Domenick,FY,12,3,0
31,123,THEA 243,The Art of Sound Design,3,MW 10:05-11:30 AM in DAC-139,Monk Schane-Lydon,FY,15,5,0
32,193,SPAN 100 A,Spanish Language & Context I,4,TR 10:35-11:30 AM and MW 10:05-11:30 AM in LIE-02,Daniel Giraldo-Wonders,FY,15,6,0
33,CRN,Course Number,Title,Credits,Day/Time/Room,Instructor,FY,Max,Current,Wait
34,309,FREN 204 A,Intermediate French  I,3,MWF 11:05-12:00 PM in CL3-11,David Franco Arabia,WP,15,3,0
35,CRN,Course Number,Title,Credits,Day/Time/Room,Instructor,FY,Max,Current,Wait
36,104,CHEM 100 B,Chemistry I,4,MWF 11:10-12:05 PM in FSH-102,David Myers,WP,20,11,0
37,4,LING 100,(CLOSED)Introduction to Linguistics,3,MWF 11:10-12:05 PM in CL3-14,Nancy Bonvillain,FY,15,15,0
38,101,MATH 220,Linear Algebra,3,MWF 11:10-12:05 PM in CL1-04,Kaethe Minden,WP,15,12,0
39,69,PHYS 100 A,Physics I,4,MWF 11:10-12:05 PM in FSH-113,Eric Kramer,WP,18,12,0
40,CRN,Course Number,Title,Credits,Day/Time/Room,Instructor,FY,Max,Current,Wait
41,186,MATH 218M 2,Nonbinary Thinking in Mathematics,2,MWF 12:30-1:25 PM in CL1-01,Kameryn Williams,WP,15,4,0
42,CRN,Course Number,Title,Credits,Day/Time/Room,Instructor,FY,Max,Current,Wait
43,112,FS 100 A,Seminar I,4,MW 1:05-2:30 PM in DAC-139,John Myers,FY,14,12,0
44,207,FS 100 B,Seminar I,4,MW 1:05-2:30 PM in CL3-10,Felix Kaputu,FY,14,12,0
45,292,FYE 100 B,First Year Experience I,1 p/f,F 1:05-2:30 PM in CL3-10,Mary Budzn,FY,15,11,0
46,293,FYE 100 C,First Year Experience I,1 p/f,F 1:05-2:30 PM in CL3-12,David Franco Arabia,FY,15,11,0
